ID,Group1_R1DNO1_1_root,Group1_R1DNO1_2_root,Group1_R2DNO1_1_root,Group1_R2DNO1_2_root,Group1_R3DNO1_1_root,Group1_R3DNO1_1_root,Group2_R3EIC1_1_root,Group2_R3EIC1_2_root,Group2_R1EIC1_1_root_bad,Group2_R1EIC1_2_root_bad,Group2_R2EIC1_1_root,Group2_R2EIC1_2_root,Group3_R1EIO1_1_root,Group3_R1EIO1_2_root,Group3_R2EIO1_1_root,Group3_R2EIO1_2_root,Group3_R3EIO1_1_root_bad,Group3_R3EIO1_2_bad,Group4_R3DNC1_1_root,Group4_R3DNC1_2_root,Group4_R1DNC1_1_root,Group4_R1DNC1_2_root,Group4_R2DNC1_1_root,Group4_R2DNC1_2_root
DHB029,27116.4336,14742.1973,149802.156,88893.8594,124161.945,187157.609,114913.313,191463.281,18822.4961,27680.5879,89199.6016,77115.7422,122931.508,56189.4844,42950.7461,57151.8984,4556.70654,10100.9307,4784.56787,4419.12354,8857.47656,63556.9336,88385.5859,62981.957
DHB030,27116.4336,14742.1973,149802.156,88893.8594,124134.367,187157.609,114913.313,191299.563,18822.4961,27680.5879,89199.6016,77115.7422,122931.508,56189.4844,42950.7461,57140.2109,4556.70654,10100.9307,4784.56787,4419.12354,8857.47656,63543.4375,88385.5859,62981.957
DHB031,27116.4336,14742.1973,149802.156,88893.4297,124127.32,187157.609,114913.313,191257.75,18822.4961,27680.5879,89199.6016,77115.7422,122931.508,56189.4844,42950.7461,57137.0352,4556.70654,10100.9307,4784.56787,4419.12354,8857.47656,63539.9883,88385.5859,62981.957
DHB032,29.1925774,73.307724,8663.94043,8495.11426,891.564514,920.193604,5474.93018,2867.30298,7481.48779,10119.9033,4406.93848,5140.10693,6923.33154,7790.93457,1863.25281,2347.88965,752.423462,416.488342,0,31.6561813,675.007568,7230.18555,15038.6309,5096.85645
DHB033,120.216309,0,19.1678619,6.5861516,35.8563232,16.0920086,0,0,0,0,3485.97119,4409.24902,5183.42676,1809.31763,707.34668,967.909912,0,11.4283419,0,0,4.13233662,18.2596931,134.737671,0
DHB034,311.974152,74.616127,4996.65674,2740.99902,1235.22449,2097.62158,759.794983,2630.91016,118.329269,189.411835,0,0,20.8914261,31.2550049,25.7361145,14.499156,15.5532827,6.23190546,0,0,467.049774,4362.8252,3638.28003,4546.84521
DHB035,699.95697,394.455231,0,0,4604.73291,6025.30322,391.514709,910.116394,572.303406,987.59375,8306.85645,7319.11377,13321.9746,14172.209,10597.8877,12989.1582,4149.68018,11043.3496,0,18.3736324,213.921585,571.882568,116.756973,146.339798
DHB036,3446.83154,1698.37585,322.165253,118.833466,4922.15869,7486.25684,2628.06079,5430.21582,6315.27539,10230.3057,14511.4678,12148.3486,26101.3887,19845.8672,10534.5469,12805.4375,1064.2522,8699.11426,1061.26782,319.791199,425.953217,4206.14111,648.827881,1321.64514
DHB037,207.269669,140.006638,967.067627,784.479431,40.2563019,57.2619743,199.975006,628.075012,4123.76904,9292.19434,1899.19299,2199.22534,7667.61182,2764.13184,1214.32605,1906.33289,196.482864,591.082092,1402.36963,137.307846,50.0341187,740.925049,366.258636,775.676208
DHB038,983.045654,693.384399,1367.93079,1349.59631,15.3139324,22.9796543,60.6910782,1003.25409,6.66176701,60.1169472,2329.81958,3538.69507,1819.11389,2226.18652,796.548706,1455.14734,166.563629,597.216614,2409.62451,841.82489,112.099007,2411.94287,775.469055,1792.06836
