ID,Group1_R1DNO1_1_root,Group1_R1DNO1_2_root,group1_R2DNO1_1_root,Group1_R2DNO1_2_root,Group1_R3DNO1_1_root,Group1_R3DNO1_2_root,Group2_R3EIC1_1_root,Group2_R3EIC1_2_root,Group2_R1EIC1_1_root,Group2_R1EIC1_2_root,Group2_R2EIC1_1_root,Group2_R2EIC1_2_root,Group3_R1EIO1_1_root,Group3_R1EIO1_2_root,Group3_R2EIO1_1_root,Group3_R2EIO1_2_root,Group3_R3EIO1_1_root_bad,Group3_R3EIO1_2_root_bad,Group4_R3DNC1_1_root, Group4_R3DNC1_2_root,Group4_R1DNC1_1_root,Group4_R1DNC1_2_root, Group4_R2DNC1_1_root,Group4_R2DNC1_2_root
NEDC193,3644.40503,4870.06592,947.093201,706.870239,1584.15698,1572.38623,95.7766266,99.9275513,400.422913,427.490692,1645.68945,858.229004,1910.03003,2799.10205,1453.64661,3136.17603,1307.10193,729.558594,603.443787,571.24585,1578.71631,1261.90942,460.866608,659.525024
NEDC194,662.557678,1660.13391,3518.89282,2169.62231,216.153305,156.174332,14.0447149,0,26.1943817,41.8986816,1245.01086,552.449097,0,18.5088577,18.2314568,68.5958557,23.8784885,0,2648.65283,1617.1488,1300.93872,993.611084,0,317.312469
NEDC195,1655.47961,3685.75391,3534.17407,2351.0332,1124.41321,1958.20459,1165.86328,788.412048,3197.67334,2914.05615,2796.03223,919.860352,2218.34644,2138.73413,166.54039,878.905579,530.679688,415.956665,1325.92273,222.838272,828.24823,640.591797,0,0
NEDC196,40.1274452,16.1121407,0,0,26.2226925,24.0476437,11.4653606,14.536128,0,0,0,12.383462,0,0,0,0,0,17.7154922,1070.73694,33.8739929,3952.67676,215.712143,42.7284279,69.1250992
NEDC197,0,0,0,14.6104698,20.2479057,13.9447489,0,0,6348.76367,5252.51514,41.882946,29.8655186,2706.38794,4324.72266,412.923889,2101.81738,825.850464,517.081055,18.7728996,7.90565014,10.3867741,5.35009193,116.105087,119.034973
NEDC198,0,0,0,14.6104698,23.808075,15.8239727,0,0,6351.57666,5252.51514,37.7438011,29.8655186,2706.38794,4324.72266,412.923889,2104.24023,824.079041,517.081055,17.8175678,7.90565014,10.3867741,5.35009193,93.5308456,104.885185
NEDC199,1082.20398,2162.16162,3522.07617,2323.7981,10.6351776,22.9864349,2.52526736,36.2089996,23.0795364,0,1482.68335,534.877747,9.35305786,12.1530924,10.6460257,0,29.7969475,0,3028.93726,1869.66858,1375.79004,1085.86548,56.3333473,232.080536
NEDC200,36.3149223,0,0,16.2012749,34.9031219,20.7719555,0,6.83846235,0,0,0,36.9839172,30.1510029,0,0,49.6242523,8.52388382,12.5243683,255.200684,51.5348015,1091.31982,42.9006844,0,114.019859
NEDC201,681.273071,1163.87915,3747.42603,3033.34644,1090.45203,1186.92297,6.22889376,12.6073866,0,0,2028.47827,1307.03027,3.73388267,0,0,0,0,0,2756.2583,1459.0343,1061.49353,738.152405,3023.03467,3024.64404
NEDC202,681.273071,1157.38245,3747.42603,3033.34644,1087.94836,1183.02173,6.22889376,12.6073866,0,0,2028.47827,1308.76563,4.57618237,0,0,0,0,0,2758.70044,1459.0343,1059.38831,739.001953,3023.03467,3024.64404
NEDC203,0,38.0787926,28.1548996,20.156826,21.4428921,12.6993723,13.3176346,25.5874405,0,0,0,2.5440712,10.6812077,14.4683285,28.4723225,0,5.13264561,3.64176154,54.8139191,3.88365984,52.604763,5.89331245,32.2867889,140.979324
NEDC204,1225.6239,3373.05591,6329.72217,3769.18359,840.851685,1231.06616,55.1532478,95.1254959,74.8284302,92.3356323,2665.49512,1256.98975,70.9946899,92.6574554,13.6528997,243.606552,130.31749,117.430527,3949.78076,2738.98071,2142.56079,1598.42053,86.9063187,172.406265
NEDC205,354.129852,678.224182,2378.99365,1213.55627,532.004028,433.706665,5.48060131,7.53949785,117.301392,156.832275,962.600281,291.149597,26.3167057,80.4736938,0,136.941742,20.9908924,21.0945396,3634.48096,1540.25891,889.788818,816.742493,69.2697372,0
NEDC206,216.128693,903.97467,2209.18506,1188.11353,617.046021,629.573425,43.4966278,45.6172714,2026.48254,2084.65576,428.091064,354.025909,1163.63367,1385.1355,324.826294,1275.73975,406.161743,332.817352,7680.65039,3091.6106,1584.67615,1166.73596,31.2724037,170.472092
NEDC207,1424.82324,1898.10315,1651.93591,802.677368,120.823143,345.516907,19.0588856,52.2804413,28.1336994,137.893127,170.849533,62.2055016,39.0567169,25.5000591,0,36.6455956,26.0544567,50.1797981,169.112167,93.134697,145.480499,99.8697662,33.2490616,340.834503
NEDC208,775.911499,899.623474,1371.40637,745.373352,32.5018158,24.3459377,2.87472606,7.5147357,1540.85327,1404.4519,364.72644,101.053902,345.044922,587.93573,165.191162,1014.22455,578.958679,340.303223,2190.69141,1085.2655,246.929001,265.268219,16.8642025,8.76884365
