id	molecularFormula	adduct	precursorFormula	NPC.pathway	NPC.pathway.Probability	NPC.superclass	NPC.superclass.Probability	NPC.class	NPC.class.Probability	ClassyFire.most.specific.class	ClassyFire.most.specific.class.Probability	ClassyFire.level.5	ClassyFire.level.5.Probability	ClassyFire.subclass	ClassyFire.subclass.Probability	ClassyFire.class	ClassyFire.class.Probability	ClassyFire.superclass	ClassyFire.superclass.probability	ClassyFire.all.classifications	compoundID
954_Rppos_rhizo_FT_308.22172_8.812_rppos	C18H29NO3	[M + H]+	C18H29NO3	Fatty acids	0.85198164	Fatty amides	0.173838615	Primary amides	0.154962718	Fatty Acyls	0.819349468					Fatty Acyls	0.819349468	Lipids and lipid-like molecules	0.823454857	Organic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_308.22172_8.812_rppos
955_Rppos_rhizo_FT_308.22194_6.613_rppos	C18H29NO3	[M + H]+	C18H29NO3	Fatty acids	0.85198164	Fatty amides	0.173838615	Primary amides	0.154962718	Fatty Acyls	0.819349468					Fatty Acyls	0.819349468	Lipids and lipid-like molecules	0.823454857	Organic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_308.22194_6.613_rppos
956_Rppos_rhizo_FT_308.22168_8.519_rppos	C18H29NO3	[M + H]+	C18H29NO3	Fatty acids	0.851981759	Fatty amides	0.173838988	Primary amides	0.154962867	Fatty Acyls	0.819349408					Fatty Acyls	0.819349408	Lipids and lipid-like molecules	0.823454797	Organic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_308.22168_8.519_rppos
957_Rppos_rhizo_FT_328.24799_8.124_rppos	C18H33NO3	[M + O + H]+	C18H33NO4	Fatty acids	0.982398927	Fatty Acids and Conjugates	0.322651565	Open-chain polyketides	0.067183778	Fatty Acyls	0.50720489					Fatty Acyls	0.50720489	Lipids and lipid-like molecules	0.574067295	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Organic oxoazanium compounds; Carbonyl compounds; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	FT_328.24799_8.124_rppos
958_Rppos_rhizo_FT_328.24813_7.346_rppos	C18H33NO3	[M + O + H]+	C18H33NO4	Fatty acids	0.982371092	Fatty Acids and Conjugates	0.320488483	Open-chain polyketides	0.067285083	Fatty Acyls	0.505200803					Fatty Acyls	0.505200803	Lipids and lipid-like molecules	0.572443068	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Organic oxoazanium compounds; Carbonyl compounds; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	FT_328.24813_7.346_rppos
959_Rppos_rhizo_FT_328.24813_7.433_rppos	C18H33NO3	[M + O + H]+	C18H33NO4	Fatty acids	0.982398927	Fatty Acids and Conjugates	0.322651565	Open-chain polyketides	0.067183778	Fatty Acyls	0.50720489					Fatty Acyls	0.50720489	Lipids and lipid-like molecules	0.574067295	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Organic oxoazanium compounds; Carbonyl compounds; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	FT_328.24813_7.433_rppos
960_Rppos_rhizo_FT_328.24815_6.978_rppos	C18H33NO3	[M + O + H]+	C18H33NO4	Fatty acids	0.982371092	Fatty Acids and Conjugates	0.320488483	Open-chain polyketides	0.067285083	Fatty Acyls	0.505200803					Fatty Acyls	0.505200803	Lipids and lipid-like molecules	0.572443068	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Organic oxoazanium compounds; Carbonyl compounds; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	FT_328.24815_6.978_rppos
961_Rppos_rhizo_FT_328.24812_7.275_rppos	C18H33NO3	[M + O + H]+	C18H33NO4	Fatty acids	0.982371092	Fatty Acids and Conjugates	0.320488483	Open-chain polyketides	0.067285083	Fatty Acyls	0.505200803					Fatty Acyls	0.505200803	Lipids and lipid-like molecules	0.572443068	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Organic oxoazanium compounds; Carbonyl compounds; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	FT_328.24812_7.275_rppos
962_Rppos_rhizo_FT_173.12833_1.492_rppos	C8H13NO2	[M + H3N + H]+	C8H16N2O2	Alkaloids	0.92107749	Lysine alkaloids	0.918521225	Piperidine alkaloids	0.782764137	N-unsubstituted carboxylic acid imides	0.779754698	Carboxylic acid imides	0.180576637	Carboxylic acid derivatives	0.959790587	Carboxylic acids and derivatives	0.942039371	Organic acids and derivatives	0.990084171	Organic compounds; Organoheterocyclic compounds; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; N-unsubstituted carboxylic acid imides; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_173.12833_1.492_rppos
964_Rppos_rhizo_FT_110.09635_2.976_rppos	C7H11N	[M + H]+	C7H11N	Alkaloids	0.732053995	Lysine alkaloids	0.34126091	Quinolizidine alkaloids	0.386472285	Organonitrogen compounds	0.999787629					Organonitrogen compounds	0.999787629	Organic nitrogen compounds	0.999980688	Organic compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	FT_110.09635_2.976_rppos
