ID,Group1_R1DNO1_1_root,Group1_R1DNO1_2_root,group1_R2DNO1_1_root,Group1_R2DNO1_2_root,Group1_R3DNO1_1_root,Group1_R3DNO1_2_root,Group2_R3EIC1_1_root,Group2_R3EIC1_2_root,Group2_R1EIC1_1_root,Group2_R1EIC1_2_root,Group2_R2EIC1_1_root,Group2_R2EIC1_2_root,Group3_R1EIO1_1_root,Group3_R1EIO1_2_root,Group3_R2EIO1_1_root,Group3_R2EIO1_2_root,Group3_R3EIO1_1_root_bad,Group3_R3EIO1_2_root_bad,Group4_R3DNC1_1_root, Group4_R3DNC1_2_root,Group4_R1DNC1_1_root,Group4_R1DNC1_2_root, Group4_R2DNC1_1_root,Group4_R2DNC1_2_root
APEBA048,6609.62354,7756.62744,2904.23828,3547.396,41832.5391,43789.3945,20885.9492,27311.0859,8391.40723,9787.77148,14600.6953,15215.0586,8114.89648,8990.8584,46400.9961,24209.6641,0.029324144,152.849838,43.4841957,37.9190216,75.6242676,185.807404,12764.7051,7272.8374
APEBA049,627.066467,778.337708,835.837708,1102.67358,3395.52026,3279.58862,785.94104,1256.50403,705.157654,719.142517,525.466187,714.45105,857.484192,788.807373,564.921204,765.252991,823.234863,868.726501,1702.19141,3365.51001,1221.76416,1179.36902,1026.16223,1181.27551
APEBA050,226.688095,217.699295,340.321411,475.466644,399.581421,494.367065,327.257538,382.691101,50.1982651,153.470291,153.371628,71.6975098,0,42.8166847,43.6271667,50.542614,0,0,0,0,0,5.85427284,1594.36169,481.551666
APEBA051,9.10239029,15.0343056,27.8483562,11.0321283,126.541939,78.6037674,34.6038284,83.2598953,60.9654503,280.083252,0,0,48.4147301,239.261627,93.1406403,59.1427956,134.82486,52.2795067,43.6154938,24.9016075,99.0422211,114.92308,62.3915176,52.5482483
APEBA052,56.7412796,41.172348,25.355257,103.893753,216.793442,157.28447,164.998428,258.47583,0,16.580883,21.5231533,14.9915771,25.2524185,8.49891186,22.8582916,10.8735819,0,0,0,0,2.79303169,0,59.845665,0
APEBA053,137.739792,157.052429,123.257217,175.400848,169.184616,168.372284,93.6473999,157.499268,33.7889519,64.7629929,0,82.9838333,18.5501213,25.1591721,0,25.8733807,0,8.39413452,0,0,0,0,687.364929,229.7659
APEBA054,375.933167,706.664612,331.914215,562.736206,401.395203,750.200439,514.195251,506.727844,215.50235,377.32547,217.926132,142.366165,105.246498,137.585129,123.121193,170.304749,30.5603275,11.1338892,10.0960436,11.3315325,28.7278194,58.9714699,1790.76819,265.621399
APEBA055,18.5546093,57.4502373,696.493103,710.865784,240.102966,85.3014297,0,0,0,0,130.182175,240.080933,29.2507668,83.3198853,204.628021,289.174377,0,0,0,0,1.56149781,0,22.2569962,0
APEBA056,96.9293976,28.8443146,40.0226059,31.1848106,109.642517,82.3758469,525.190308,686.110413,11.9179831,0,0,0,16.4514103,14.066102,0,17.5859756,0,0,0,0,5.54834461,0,52.2491264,76.2558594
APEBA057,70.7130051,23.3310013,23.5730991,25.2241325,84.1335144,57.7419014,418.76297,551.513794,9.63997459,0,0,0,0,5.86642933,0,14.2245855,0,0,0,0,4.48783159,0,37.4405098,40.0528526
APEBA058,13.3300571,0,0,0,115.739204,126.288391,45.9422302,49.5493393,558.889038,406.190247,533.74115,588.060547,245.450302,324.593353,282.748474,250.61348,0,13.109786,0,0,4.66666746,28.3408604,25.6839104,0
APEBA059,6.46590471,0,2.89314008,35.8301239,585.116089,341.217468,12.1744337,7.60616779,17.74086,20.7742996,21.8686047,9.5739336,37.1806908,28.8051472,17.7919636,0,0,7.71021128,42.3773041,76.2370758,19.9541054,92.3717651,17.0878258,0
APEBA060,105.300125,37.0434761,29.5916061,54.4671974,1307.94775,1526.01599,589.900879,790.159363,266.798065,224.930817,152.643692,290.927094,288.822479,276.940979,1558.53186,1726.79211,0,0,0,9.09674168,0,5.0448966,319.270905,258.634003
APEBA061,38.6095734,20.7374344,10.8501234,29.4518776,514.778259,636.237122,216.294327,313.006927,97.8247681,120.456795,71.7777939,137.0578,130.77066,117.530083,642.089722,633.149536,0,0,0,15.4591131,0,0,137.35141,132.33606
APEBA062,20.8609295,23.7311192,59.8684616,25.639925,305.617554,164.316986,24.0273552,6.40201855,25.0139961,57.042408,0,23.2642288,3.39897537,20.3828735,0,0,0,0,0,57.7558327,0,4.62019205,5.84039688,14.7295609
APEBA063,14.6239586,16.6360245,41.9690742,17.9741344,196.883438,115.189735,12.4402046,4.48795176,17.5353451,35.5217438,0,10.6363106,2.38275433,14.2888298,0,0,0,0,0,40.4880714,0,3.23885322,4.09424305,0
APEBA064,67.7063522,122.300194,34.096447,76.4439697,91.1271591,63.2384644,43.1083031,219.039322,0,26.6736565,72.6591721,253.048615,39.2651634,110.442062,20.1515942,0,0,0,208.695541,1365.3075,0,2.49017501,212.162827,0
APEBA065,4.38782215,1.07523513,34.6164665,7.2625308,0,0.477946848,33.7892532,34.2609596,0,0,0,0,32.1306381,6.28521252,12.2489481,124.656776,151.06752,105.500481,20.5488071,30.2966442,166.351288,191.552979,12.6309767,0
APEBA066,419754.344,384688.969,462807.969,467003.438,364499,408442.031,386642.094,431259.281,476561.719,517422.031,440915.625,499947.469,463785.344,502298.625,457237.969,630518.875,484222,514716.406,480489.656,369013.063,766142.875,773574.875,493053.438,480579
APEBA067,35.3025894,22.3136311,91.8240891,29.0517464,95.4826813,130.764511,898.078552,979.328186,126.408165,86.0084229,66.810791,31.6208687,97.0000687,72.9714584,29.7045841,82.290596,65.7945633,56.6644173,45.1846848,12.9123182,60.1652374,48.093441,84.938179,83.4607239
APEBA068,54.3517303,18.5914764,123.12999,132.587402,438.307312,426.073822,118.722496,228.421982,119.682816,268.26474,7.48876667,28.1521091,204.37294,109.24662,122.584007,652.455627,358.39209,237.087769,144.830215,19.5519218,1057.41577,992.834656,393.975159,393.620911
APEBA069,5.05404854,0,0,0,657.245178,78.0431747,0,5.86001301,0,0,0,0,15.1857166,22.1119022,0,0,0,0,180.462036,616.584229,0,5.95881462,0,0
APEBA070,0,0,4.24953842,9.10857105,57.99683,62.9913177,0,6.39389181,31.2949696,31.4510288,0,0,3.41852236,6.14020014,13.231904,4.11293077,32.3924294,0,0,0,83.5761414,92.757309,45.5471077,19.1635551
APEBA071,95.0233765,7.37060738,45.5176697,23.741148,248.417404,276.462158,19.5960007,178.292831,5.53388834,66.5884247,21.4773788,16.5668449,48.6058197,17.7619915,64.5046463,165.028503,171.150635,95.6684341,108.639122,0,381.443512,363.574707,271.662262,131.682129
APEBA072,212.087265,23.4233341,211.575378,74.4889603,403.675201,172.820801,129.782776,867.670654,189.690033,194.432419,0,39.1459198,310.492554,572.50238,326.770569,993.918396,518.393433,553.765991,347.377777,89.3092346,1034.51282,1319.35913,394.01712,1156.34875
APEBA073,1052.0199,441.464478,1933.45056,1611.78735,3002.80566,3015.02466,1267.97656,2712.14307,2103.33252,1613.47375,1004.77863,1818.39502,2678.35449,2829.91016,3483.69263,8022.62354,5376.54834,5525.15186,5358.75195,6812.40869,9849.86426,9465.68848,3780.22998,4430.82568
APEBA074,192.591187,250.400818,254.600082,606.525208,192.623123,157.190338,228.94162,379.044128,20.9476318,10.5927944,998.958496,981.100342,397.127014,356.503296,446.540924,370.237183,16.578476,12.5380659,42.3668747,10.0829945,81.3293533,134.023819,468.22934,36.1405258
APEBA075,2.67809582,2.97798371,17.8518944,24.7415733,0,5.52458858,40.6888885,34.0634422,6.98675394,7.54638577,0,0,48.7627296,8.11493683,19.2158661,8.84574032,61.8258514,25.576767,5.03470278,9.23205757,138.443283,163.507278,42.6577911,0
APEBA076,3.59938097,58.5622749,61.4133377,140.362457,15.100071,24.9610081,118.650375,93.4578323,69.5689697,63.9504967,2.76913404,17.2717819,84.8195496,41.4332771,104.007431,231.339478,301.700714,159.84581,145.54483,31.3241081,252.712418,247.561447,55.8858147,61.3017044
APEBA077,1753.06042,1488.37854,2664.10547,2779.33032,1288.4397,1502.28357,4117.07324,4251.98633,1351.42407,868.587769,1214.75598,1675.16687,1696.14575,1303.54163,358.104004,235.709106,0,0,0,0,34.7222404,15.9886322,2519.3894,2379.19116
APEBA078,4334.00879,4328.67334,6829.23193,6798.0542,3721.90796,3939.80566,8340.08008,9115.92188,3701.04077,2445.07324,3370.03125,4605.65771,4181.18604,3268.50342,1043.55444,845.27832,0,5.67812443,6.91179848,0,78.0177917,59.3386192,6655.49219,5432.50195
APEBA079,6.39409971,9.24995136,93.6746597,42.4706154,318.264648,370.401062,1402.35608,1566.40149,8.42633915,7.29942417,21.01437,13.9760418,52.9482498,13.0865765,7.45579529,31.2400761,0,7.58656549,0,15.6520929,25.3365765,25.8577099,439.852966,693.913452
APEBA080,25.3746738,0,0,0,2004.89014,2503.25269,0,0,0,0,48.8113403,65.5810089,63.3836479,53.169117,58.7845802,192.706161,0,3.70413399,35.1773643,6.75451469,394.587921,692.208252,0,0
APEBA081,82.3962326,26.2670918,68.454422,0,5458.50293,6588.06104,18.6338711,817.547668,673.776001,612.4552,0,17.1426582,704.033875,1211.35559,54.4728012,242.295395,378.342682,945.11084,2868.82202,6291.65527,100.558334,1827.83411,5.26828671,198.731277
