NMR_weight,RPPOS_mz,RPNEG_mz,HPOS_mz,HNEG_mz,FTICR_NeutralMass
,83.08552,331.24731,626.82236,,163.2543635
,270.04213,313.23753,154.08304,,163.3081345
,403.10485,287.22229,543.13038,,163.4741265
,169.13354,309.20658,144.92683,,163.518959
,374.22873,285.20669,128.95297,,163.5542601
,245.13834,315.18015,250.94796,,163.5724435
,215.17544,331.24744,284.97103,,163.5999805
,430.24358,356.24271,226.98686,,163.8455118
,182.11755,350.24522,292.95823,,163.8459341
,242.13835,360.27397,146.01816,,163.846207
,156.13812,281.17539,104.99187,,163.846371
,138.12761,342.22697,374.96096,,163.8465335
,184.13304,239.12869,186.99455,,163.8467877
,156.13813,287.22223,268.99711,,163.8480983
,215.12777,360.27395,456.96374,,163.8497308
,165.0757,350.24523,350.99989,,163.9012565
,299.1489,281.1753,433.00264,,163.9101765
,351.18896,329.23154,538.96649,,163.9494685
,351.18913,241.14442,515.00543,,163.9873215
,226.14371,307.19077,597.00793,,163.9876365
,198.14894,342.22691,679.01019,,164.0109567
,284.05769,329.23215,298.12486,,164.0143355
,97.10116,301.23761,314.11975,,164.0215345
,431.1358,309.20651,182.07797,,164.0222295
,381.23589,329.23139,614.1759,,164.0291521
,341.24341,342.22696,271.12366,,164.0320902
,315.14376,315.25254,327.23437,,164.0352345
,307.23795,315.25255,214.17935,,164.0397241
,196.13321,269.21218,298.27278,,164.0464215
,365.2047,315.25249,200.16383,,164.046892
,299.23293,269.21224,238.17929,,164.0473523
,196.13327,343.2108,288.25225,,164.0477907
,365.20463,313.23767,290.21036,,164.0579078
,170.15375,269.21229,340.24656,,164.0585835
,198.14875,343.21055,358.22076,,164.0684689
,200.16453,315.25248,267.19454,,164.0688755
,536.33074,383.23965,,,164.0760875
,536.3309,309.20645,,,164.079285
,203.13904,267.1966,,,164.0797088
,139.11174,309.20636,,,164.080128
,298.07345,267.19653,,,164.0832771
,379.2203,309.20632,,,164.083724
,313.24854,267.19659,,,164.0841315
,330.26383,299.22176,,,164.0878175
,550.34635,295.22679,,,164.5085805
,550.3465,357.13388,,,164.5267767
,231.1339,297.04646,,,164.543882
,304.24817,327.12548,,,164.6166575
,352.24568,507.12191,,,164.6636205
,328.24815,441.20254,,,164.8465221
,304.24805,,,,164.8468258
,172.20589,,,,165.0137401
,214.18011,,,,165.0187864
,268.22704,,,,165.0293612
,188.20086,,,,165.0369937
,199.13288,,,,165.0425902
,312.08907,,,,165.0475435
,328.24812,,,,165.0502245
,328.24813,,,,165.0506984
,348.27444,,,,165.0511615
,358.2224,,,,165.05517
,328.24813,,,,165.0633015
,296.25833,,,,165.0637139
,348.27437,,,,165.0657341
,296.25842,,,,165.0667465
