NMR_weight,RPPOS_mz,RPNEG_mz,HPOS_mz,HNEG_mz,FTICR_NeutralMass
,291.098,,233.14848,351.128,161.7132735
,348.275,,420.14812,224.093,161.7304841
,652.355,,396.14788,366.108,161.7558605
,346.259,,253.11697,113.024,161.8479915
,688.354,,223.10678,506.298,161.8482405
,488.156,,105.06938,293.124,161.8483875
,346.259,,200.16368,523.095,161.8485568
,658.343,,230.24654,182.993,161.8487535
,502.171,,210.1116,371.135,161.8489512
,218.211,,120.10141,365.071,161.8491305
,174.185,,202.21562,139.003,161.8493031
,234.206,,174.18446,176.092,161.8494595
,232.191,,130.15859,182.993,161.8497289
,466.281,,225.19517,369.12,161.8498545
,496.291,,247.14293,295.103,161.8499585
,246.243,,346.25744,363.056,161.8503385
,262.238,,189.12262,308.098,161.8506852
,301.249,,447.14504,293.124,161.8510498
,230.248,,463.11885,367.104,162.019231
,290.269,,85.02814,245.034,162.038586
,330.264,,129.07783,101.024,162.0445005
,295.227,,249.14323,215.033,162.0524355
,738.512,,203.05172,209.066,162.052828
,478.293,,226.10636,139.003,162.061718
,151.035,,244.07824,182.993,162.385167
,153.033,,175.10702,139.003,162.396171
,295.968,,508.30926,518.168,162.4277375
,254.942,,402.21064,154.965,162.7034239
,273.121,,361.25808,207.016,162.711209
,637.229,,120.08036,337.077,162.7162425
,304.15,,122.08066,309.119,162.7164082
,652.228,,352.24211,281.067,162.71879
,638.212,,261.17938,380.155,162.7252887
,164.092,,257.14562,222.135,162.7637105
,302.196,,176.13843,237.062,163.0429555
,508.312,,140.06746,361.055,163.0508475
,275.128,,140.06749,236.078,163.3874439
,323.147,,203.05169,399.094,163.3895362
,269.138,,258.16869,217.035,163.5848095
,,,150.05762,152.986,163.5994919
,,,177.08619,281.088,163.5999141
,,,221.11214,281.088,163.8455889
,,,276.1,246.008,163.8459776
,,,160.09611,281.088,163.8462185
,,,258.1688,168.981,163.8463763
,,,388.15795,142.05,163.8465375
,,,300.1273,168.981,163.8467789
,,,174.1228,152.986,164.0439727
,,,236.14788,267.072,164.0463805
,,,106.08562,297.082,164.0469583
,,,256.08023,308.991,164.0471596
,,,148.04194,275.022,164.0473279
,,,336.16366,275.022,164.0474815
,,,232.11681,297.082,164.047724
,,,287.12229,488.162,164.0485595
,,,157.09647,475.131,164.0522915
,,,159.07566,357.102,164.0542495
,,,127.03846,242.978,164.0614267
,,,97.02801,439.076,164.3395185
,,,325.11125,237.007,164.3910785
,,,85.02808,156.99,164.5438535
,,,198.09667,158.988,164.6161838
,,,154.13306,254.968,164.6166335
,,,198.12269,352.944,164.684938
,,,259.07989,450.922,164.7140142
,,,307.10084,141.016,164.7158669
,,,127.03841,223.02,164.7199295
,,,148.04188,387.025,164.7261376
,,,146.09163,181.009,164.727927
,,,120.10139,250.156,164.7460235
,,,88.03893,211.946,164.8468135
,,,432.16889,174.509,165.048473
,,,84.04407,336.084,165.0503115
,,,160.13244,351.089,165.0506976
,,,204.0858,252.053,165.051112
,,,145.04889,374.092,165.0586241
,,,116.0814,231.04,165.1931695
,,,266.12225,441.161,165.2474945
,,,105.03647,267.072,165.3745145
,,,252.14301,351.922,165.379702
,,,85.02812,,165.3807127
,,,204.08577,,165.3839375
,,,97.02806,,165.3909605
,,,180.08584,,165.3936195
,,,325.11134,,165.4056335
,,,455.11428,,165.4637587
,,,172.14372,,165.5330475
,,,381.07769,,165.5334871
,,,94.92923,,165.5835995
,,,176.87449,,165.5840383
,,,136.9396,,165.7982065
,,,138.93762,,165.8426077
,,,290.88218,,165.8430144
,,,234.91599,,165.8434271
,,,372.82736,,165.8438339
,,,268.94469,,165.8889755
,,,312.97905,,165.9863345
,,,128.9529,,166.046392
,,,104.99183,,166.0507425
,,,250.9479,,166.0509195
,,,186.99449,,166.052607
,,,226.98677,,166.0585155
,,,268.99705,,166.0628718
,,,292.95814,,166.0630085
,,,154.0943,,166.0717505
,,,115.08621,,166.129445
,,,266.15865,,166.3852095
,,,,,166.3972625
,,,,,166.6970611
,,,,,166.704592
,,,,,166.7105105
,,,,,166.7164315
,,,,,166.7217555
,,,,,166.7224695
,,,,,166.7228055
,,,,,166.7234345
,,,,,166.7277362
,,,,,166.7347655
,,,,,167.0299845
,,,,,167.0390415
,,,,,167.0449585
,,,,,167.0569235
,,,,,167.0572608
,,,,,167.0580671
,,,,,167.1047485
,,,,,167.1144375
,,,,,167.3630535
,,,,,167.3702865
,,,,,167.3753531
,,,,,167.3760825
,,,,,167.3761995
,,,,,167.3824087
,,,,,167.3881553
,,,,,167.390171
,,,,,167.3907235
,,,,,167.3915465
,,,,,167.4066624
,,,,,167.4984965
,,,,,167.7168575
,,,,,167.7229625
,,,,,167.725178
,,,,,167.7268412
,,,,,167.755639
,,,,,167.8367705
,,,,,167.840046
,,,,,167.8404719
,,,,,167.8408765
,,,,,168.0410495
,,,,,168.0414275
,,,,,168.0418401
,,,,,168.0422518
,,,,,168.0426915
,,,,,168.0481065
,,,,,168.0564155
,,,,,168.0572381
,,,,,168.0613005
,,,,,168.0616375
,,,,,168.0723565
,,,,,168.0786435
,,,,,168.1208165
,,,,,168.1812235
,,,,,168.3951063
,,,,,168.3959268
,,,,,168.3989058
,,,,,168.4128535
,,,,,168.5063725
,,,,,168.5347651
,,,,,168.550781
,,,,,168.5938485
,,,,,168.7005969
,,,,,168.702665
,,,,,168.7077455
,,,,,168.714037
,,,,,168.7158975
,,,,,168.7206415
,,,,,168.8714815
,,,,,168.8946905
,,,,,168.9859275
,,,,,169.0370925
,,,,,169.0375087
,,,,,169.0404705
,,,,,169.045198
,,,,,169.0456197
,,,,,169.0476648
,,,,,169.0586567
,,,,,169.0667545
,,,,,169.2501205
,,,,,169.2943405
,,,,,169.366588
,,,,,169.374544
,,,,,169.379623
,,,,,169.386671
,,,,,169.3877995
,,,,,169.3931185
,,,,,169.3937205
,,,,,169.4086725
,,,,,169.4759435
,,,,,169.5320545
,,,,,169.5421285
,,,,,169.5425935
,,,,,169.7064627
,,,,,169.8426675
,,,,,169.8430947
,,,,,169.8435334
,,,,,169.8439685
,,,,,169.9100685
,,,,,169.9413995
,,,,,169.9551617
,,,,,169.9555946
,,,,,169.9560345
,,,,,169.956463
,,,,,170.0037675
,,,,,170.0126135
,,,,,170.0130255
,,,,,170.013448
,,,,,170.0138845
,,,,,170.0215217
,,,,,170.0488343
,,,,,170.0578996
,,,,,170.0596135
,,,,,170.0629127
,,,,,170.0934371
,,,,,170.0938596
,,,,,170.0942893
,,,,,170.0947196
,,,,,170.1356925
,,,,,170.3724618
,,,,,170.4119535
,,,,,170.6582835
,,,,,170.6586435
,,,,,170.7124078
,,,,,170.7145265
,,,,,170.718315
,,,,,170.7226856
,,,,,170.7348098
,,,,,170.7407445
,,,,,171.0163675
,,,,,171.0168165
,,,,,171.0531721
,,,,,171.0976354
,,,,,171.1111155
,,,,,171.1259315
,,,,,171.1977195
,,,,,171.3668365
,,,,,171.3765065
,,,,,171.3824399
,,,,,171.3875266
,,,,,171.3945725
,,,,,171.4065265
,,,,,171.4066985
,,,,,171.4192765
,,,,,171.5512505
,,,,,171.7169105
,,,,,171.7351735
,,,,,171.7411575
,,,,,171.8401325
,,,,,171.8405693
,,,,,171.9825845
,,,,,171.9830377
,,,,,172.0100585
,,,,,172.0105195
,,,,,172.0109565
,,,,,172.0194101
,,,,,172.0228645
,,,,,172.0286565
,,,,,172.0291071
,,,,,172.0367232
,,,,,172.0371778
,,,,,172.0376111
,,,,,172.0481435
,,,,,172.0531585
,,,,,172.0541485
,,,,,172.0543345
,,,,,172.0570175
,,,,,172.0664815
,,,,,172.068656
,,,,,172.068956
,,,,,172.0691342
,,,,,172.0695855
,,,,,172.0726753
,,,,,172.0731143
,,,,,172.0735648
,,,,,172.0740082
,,,,,172.1099322
,,,,,172.1463155
,,,,,172.2519065
,,,,,172.3887897
,,,,,172.5703301
,,,,,172.5708181
,,,,,172.7077795
,,,,,172.7183505
,,,,,172.7191685
,,,,,172.7200321
,,,,,172.7383655
,,,,,172.8855945
,,,,,172.9879655
,,,,,173.0138685
,,,,,173.0344425
,,,,,173.0544865
,,,,,173.0587157
,,,,,173.0671675
,,,,,173.0676625
,,,,,173.0688185
,,,,,173.076916
,,,,,173.1042911
,,,,,173.1047422
,,,,,173.1050195
,,,,,173.1052002
,,,,,173.1053772
,,,,,173.1056451
,,,,,173.3703765
,,,,,173.3910748
,,,,,173.5767115
,,,,,173.5992457
,,,,,173.5997415
,,,,,173.7255218
,,,,,173.7304151
,,,,,173.8370035
,,,,,173.8374575
,,,,,173.8387688
,,,,,173.8392253
,,,,,173.8489143
,,,,,173.8497965
,,,,,173.8502771
,,,,,174.0083525
,,,,,174.0155365
,,,,,174.0159781
,,,,,174.0164215
,,,,,174.0168752
,,,,,174.0257235
,,,,,174.0261695
,,,,,174.0360675
,,,,,174.0515595
,,,,,174.0524055
,,,,,174.0528152
,,,,,174.0532735
,,,,,174.0567653
,,,,,174.0883015
,,,,,174.0887489
,,,,,174.0892046
,,,,,174.0896514
,,,,,174.1080841
,,,,,174.1085366
,,,,,174.115183
,,,,,174.1155685
,,,,,174.1246535
,,,,,174.1251342
,,,,,174.125596
,,,,,174.1260483
,,,,,174.3622935
,,,,,174.3860205
,,,,,174.3947275
,,,,,174.3986847
,,,,,174.3995077
,,,,,174.4107605
,,,,,174.6070662
,,,,,174.607572
,,,,,174.7035525
,,,,,174.7041897
,,,,,174.708639
,,,,,174.8076213
,,,,,174.8385625
,,,,,174.8389705
,,,,,174.8576225
,,,,,174.9850425
,,,,,175.0197881
,,,,,175.0480615
,,,,,175.092092
,,,,,175.0925625
,,,,,175.093025
,,,,,175.1087255
,,,,,175.1092555
,,,,,175.1094575
,,,,,175.1289425
,,,,,175.1420757
,,,,,175.2254805
,,,,,175.3302045
,,,,,175.3701735
,,,,,175.3825015
,,,,,175.3831925
,,,,,175.3946182
,,,,,175.3973225
,,,,,175.4034545
,,,,,175.4733107
,,,,,175.5426395
,,,,,175.560309
,,,,,175.5608081
,,,,,175.7125913
,,,,,175.7193275
,,,,,175.7290555
,,,,,175.8345238
,,,,,175.8358185
,,,,,175.8362827
,,,,,175.8367645
,,,,,175.8468428
,,,,,175.9949225
,,,,,176.0315785
,,,,,176.032079
,,,,,176.047338
,,,,,176.0500241
,,,,,176.0621785
,,,,,176.0658285
,,,,,176.0664935
,,,,,176.067536
,,,,,176.0679982
,,,,,176.0684633
,,,,,176.0689154
,,,,,176.1039255
,,,,,176.1043866
,,,,,176.1048497
,,,,,176.1053095
,,,,,176.1236235
,,,,,176.550466
,,,,,176.5514885
,,,,,176.6617845
,,,,,176.700688
,,,,,176.7120125
,,,,,176.714141
,,,,,176.7262668
,,,,,176.7383972
,,,,,176.8541955
,,,,,176.8546768
,,,,,176.8900515
,,,,,176.9678035
,,,,,176.9983275
,,,,,177.0187985
,,,,,177.0351215
,,,,,177.045885
,,,,,177.0607275
,,,,,177.063719
,,,,,177.0713585
,,,,,177.0718352
,,,,,177.0722845
,,,,,177.0944115
,,,,,177.108207
,,,,,177.2694795
,,,,,177.2770015
,,,,,177.3666855
,,,,,177.3860279
,,,,,177.3919635
,,,,,177.410294
,,,,,177.4180455
,,,,,177.4275055
,,,,,177.5490105
,,,,,177.7245085
,,,,,177.7306425
,,,,,177.7447585
,,,,,177.7592465
,,,,,177.8333216
,,,,,177.8438935
,,,,,177.8444135
,,,,,177.9014145
,,,,,177.9379795
,,,,,178.0261176
,,,,,178.0265985
,,,,,178.0270795
,,,,,178.0299981
,,,,,178.0394815
,,,,,178.0477371
,,,,,178.0508847
,,,,,178.0517415
,,,,,178.0535515
,,,,,178.0625009
,,,,,178.0629885
,,,,,178.0760045
,,,,,178.0931715
